year, mo, day, hr, min, db, obs, T, hum, wind spd, prec, cover, people
2017,6,18,11,15,64.855,,,,,,,
2017,6,18,11,16,60.802,,,,,,,
2017,6,18,11,17,57.951,,,,,,,
2017,6,18,11,18,61.85,,,,,,,
2017,6,18,11,19,59.949,,,,,,,
2017,6,18,11,20,61.565,Trolly Bell,,,,,,
2017,6,18,11,21,61.151,,,,,,,
2017,6,18,11,22,59.784,,,,,,,
2017,6,18,11,23,58.878,,,,,,,
2017,6,18,11,24,59.656,,,,,,,
2017,6,18,11,25,59.483,,,,,,,
2017,6,18,11,26,59.857,,,,,,,
2017,6,18,11,27,60.811,,,,,,,
2017,6,18,11,28,59.731,,,,,,,
2017,6,18,11,29,61.591,,,,,,,
2017,6,18,11,30,60.315,,,,,,,
2017,6,18,11,31,60.606,,,,,,,
2017,6,18,11,32,60.343,,,,,,,
2017,6,18,11,33,60.675,,,,,,,
2017,6,18,11,34,61.732,,,,,,,
2017,6,18,11,35,61.399,,,,,,,
2017,6,18,11,36,60.584,,,,,,,
2017,6,18,11,37,61.366,Motorcycle,,,,,,
2017,6,18,11,38,63.767,,,,,,,
2017,6,18,11,39,60.226,,,,,,,
2017,6,18,11,40,58.981,,,,,,,
2017,6,18,11,41,59.483,,,,,,,
2017,6,18,11,42,60.552,,,,,,,
2017,6,18,11,43,57.902,,,,,,,
2017,6,18,11,44,59.291,,,,,,,
2017,6,18,11,45,61.078,,,,,,,
2017,6,18,11,46,60.308,,,,,,,
2017,6,18,11,47,59.188,Motorcycle,,,,,,
2017,6,18,11,48,58.51,,,,,,,
2017,6,18,11,49,59.271,,,,,,,
2017,6,18,11,50,57.984,,,,,,,
2017,6,18,11,51,57.853,,,,,,,
2017,6,18,11,52,58.435,,,,,,,
2017,6,18,11,53,58.63,,,,,,,
2017,6,18,11,54,58.861,,,,,,,
2017,6,18,11,55,58.711,,,,,,,
2017,6,18,11,56,59.49,,62.1,100,11.5,n/a,overcast,
2017,6,18,11,57,60.652,,,,,,,
2017,6,18,11,58,61.947,,,,,,,
2017,6,18,11,59,58.657,Bus Driving,,,,,,
2017,6,18,12,0,59.983,,,,,,,
2017,6,18,12,1,59.394,,,,,,,
2017,6,18,12,2,59.126,,,,,,,
2017,6,18,12,3,58.346,,,,,,,
2017,6,18,12,4,57.818,,,,,,,
2017,6,18,12,5,59.762,,,,,,,
2017,6,18,12,6,59.683,,,,,,,
2017,6,18,12,7,60.512,,,,,,,
2017,6,18,12,8,58.319,,,,,,,
2017,6,18,12,9,66.928,,,,,,,
2017,6,18,12,10,57.731,,,,,,,
2017,6,18,12,11,58.918,,,,,,,
2017,6,18,12,12,57.807,,,,,,,
2017,6,18,12,13,58.166,,,,,,,
2017,6,18,12,14,58.371,,,,,,,
2017,6,18,12,15,57.812,,,,,,,
2017,6,18,12,16,59.98,,,,,,,
2017,6,18,12,17,57.868,,,,,,,
2017,6,18,12,18,58.673,Car Driving,,,,,,
2017,6,18,12,19,59.536,,,,,,,
2017,6,18,12,20,57.445,,,,,,,
2017,6,18,12,21,57.434,,,,,,,
2017,6,18,12,22,58.36,,,,,,,
2017,6,18,12,23,57.97,,,,,,,
2017,6,18,12,24,60.774,,,,,,,
2017,6,18,12,25,59.108,Bus Driving,,,,,,
2017,6,18,12,26,59.562,,,,,,,
2017,6,18,12,27,55.982,,,,,,,
2017,6,18,12,28,58.495,,,,,,,
2017,6,18,12,29,63.807,,,,,,,
2017,6,18,12,30,59.911,,,,,,,
2017,6,18,12,31,61.285,,,,,,,
2017,6,18,12,32,59.052,,,,,,,
2017,6,18,12,33,60.316,,,,,,,
2017,6,18,12,34,58.893,,,,,,,
2017,6,18,12,35,60.64,,,,,,,
2017,6,18,12,36,59.023,,,,,,,
2017,6,18,12,37,59.331,,,,,,,
2017,6,18,12,38,59.094,,,,,,,
2017,6,18,12,39,60.489,,,,,,,
2017,6,18,12,40,59.09,,,,,,,
2017,6,18,12,41,61.854,,,,,,,
2017,6,18,12,42,58.895,Reverse Alarm,,,,,,
2017,6,18,12,43,58.644,,,,,,,
2017,6,18,12,44,58.603,,,,,,,
2017,6,18,12,45,59.848,,,,,,,
2017,6,18,12,46,57.872,,,,,,,
2017,6,18,12,47,58.065,,,,,,,
2017,6,18,12,48,59.438,,,,,,,
2017,6,18,12,49,59.489,,,,,,,
2017,6,18,12,50,56.676,,,,,,,
2017,6,18,12,51,59.659,,,,,,,
2017,6,18,12,52,58.582,,,,,,,
2017,6,18,12,53,60.072,,,,,,,
2017,6,18,12,54,58.163,Reverse Alarm,,,,,,
2017,6,18,12,55,59.202,,,,,,,
2017,6,18,12,56,57.905,,63,97,10.4,n/a,overcast,
2017,6,18,12,57,58.064,,,,,,,
2017,6,18,12,58,60.221,,,,,,,
2017,6,18,12,59,58.975,,,,,,,
2017,6,18,13,0,59.785,,,,,,,
2017,6,18,13,1,59.745,Reverse Alarm,,,,,,
2017,6,18,13,2,57.47,,,,,,,
2017,6,18,13,3,57.704,,,,,,,
2017,6,18,13,4,56.82,,,,,,,
2017,6,18,13,5,61.123,,,,,,,
2017,6,18,13,6,58.932,,,,,,,
2017,6,18,13,7,58.357,,,,,,,
2017,6,18,13,8,57.505,,,,,,,
2017,6,18,13,9,56.902,,,,,,,
2017,6,18,13,10,57.34,,,,,,,
2017,6,18,13,11,59.478,,,,,,,
2017,6,18,13,12,58.185,,,,,,,
2017,6,18,13,13,58.787,Motorcycle,,,,,,
2017,6,18,13,14,59.09,,,,,,,
2017,6,18,13,15,57.593,,,,,,,
2017,6,18,13,16,57.626,,,,,,,
2017,6,18,13,17,58.456,,,,,,,
2017,6,18,13,18,57.811,,,,,,,
2017,6,18,13,19,58.146,,,,,,,
