year,mo,day,hr,min,db,obs,T,hum,wind spd,prec,cover,people
2017,7,7,9,0,47.293,weed wacker start,,,,,,7
2017,7,7,9,1,48.494,,,,,,,
2017,7,7,9,2,43.98,,,,,,,
2017,7,7,9,3,43.467,,,,,,,
2017,7,7,9,4,43.095,,,,,,,
2017,7,7,9,5,42.298,,,,,,,
2017,7,7,9,6,44.047,,,,,,,
2017,7,7,9,7,43.594,,,,,,,
2017,7,7,9,8,44.94,,,,,,,
2017,7,7,9,9,46.793,,,,,,,
2017,7,7,9,10,42.087,child yelling,,,,,,
2017,7,7,9,11,44.771,,,,,,,
2017,7,7,9,12,44.981,,,,,,,
2017,7,7,9,13,43.306,,,,,,,
2017,7,7,9,14,44.213,weed wacker end,,,,,,
2017,7,7,9,15,44.014,loud child,,,,,,
2017,7,7,9,16,59.705,,,,,,,
2017,7,7,9,17,52.349,,,,,,,
2017,7,7,9,18,45.024,,,,,,,
2017,7,7,9,19,44.518,weed wacker start,,,,,,
2017,7,7,9,20,49.186,,,,,,,
2017,7,7,9,21,48.364,,,,,,,
2017,7,7,9,22,45.999,,,,,,,
2017,7,7,9,23,45.693,weed wacker end,,,,,,
2017,7,7,9,24,58.401,,,,,,,
2017,7,7,9,25,51.377,,,,,,,
2017,7,7,9,26,46.315,weed wacker start,,,,,,
2017,7,7,9,27,44.745,,,,,,,
2017,7,7,9,28,44.075,,,,,,,
2017,7,7,9,29,43.266,,,,,,,
2017,7,7,9,30,43.289,,,,,,,11
2017,7,7,9,31,46.208,weed wacker end,,,,,,
2017,7,7,9,32,49.11,,,,,,,
2017,7,7,9,33,45.799,child running fast,,,,,,
2017,7,7,9,34,42.815,,,,,,,
2017,7,7,9,35,43.278,,,,,,,
2017,7,7,9,36,52.207,,,,,,,
2017,7,7,9,37,42.669,,,,,,,
2017,7,7,9,38,47.676,,,,,,,
2017,7,7,9,39,60.127,,,,,,,
2017,7,7,9,40,47.003,child yelling,,,,,,
2017,7,7,9,41,50.825,,,,,,,
2017,7,7,9,42,46.884,,,,,,,
2017,7,7,9,43,46.061,,,,,,,
2017,7,7,9,44,45.141,,,,,,,
2017,7,7,9,45,46.42,,,,,,,
2017,7,7,9,46,42.182,,,,,,,
2017,7,7,9,47,44.688,,,,,,,
2017,7,7,9,48,45.191,,,,,,,
2017,7,7,9,49,43.294,,,,,,,
2017,7,7,9,50,42.824,,,,,,,
2017,7,7,9,51,44.742,,,,,,,
