XL2 Broadband Logging:		TESTING17\6-15_SLM_000_123_Log.txt                            
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Sensitivity:	28.8 mV/Pa
	                	(from M4260, S/N: 3530, Factory adjusted )

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-15, 14:27:24
	End:            	2017-06-15, 16:29:06

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-15  	14:27:25  	00:00:01  	58.2    	58.2    
	2017-06-15  	14:27:26  	00:00:02  	59.2    	58.7    
	2017-06-15  	14:27:27  	00:00:03  	51.4    	57.4    
	2017-06-15  	14:27:28  	00:00:04  	49.8    	56.4    
	2017-06-15  	14:27:29  	00:00:05  	57.0    	56.5    
	2017-06-15  	14:27:30  	00:00:06  	77.9    	70.3    
	2017-06-15  	14:27:31  	00:00:07  	54.6    	69.6    
	2017-06-15  	14:27:32  	00:00:08  	78.6    	72.3    
	2017-06-15  	14:27:33  	00:00:09  	55.3    	71.8    
	2017-06-15  	14:27:34  	00:00:10  	61.5    	71.4    
	2017-06-15  	14:27:35  	00:00:11  	52.3    	71.0    
	2017-06-15  	14:27:36  	00:00:12  	55.3    	70.6    
	2017-06-15  	14:27:37  	00:00:13  	55.2    	70.3    
	2017-06-15  	14:27:38  	00:00:14  	56.1    	70.0    
	2017-06-15  	14:27:39  	00:00:15  	53.7    	69.7    
	2017-06-15  	14:27:40  	00:00:16  	55.9    	69.4    
	2017-06-15  	14:27:41  	00:00:17  	82.7    	72.8    
	2017-06-15  	14:27:42  	00:00:18  	54.4    	72.6    
	2017-06-15  	14:27:43  	00:00:19  	58.2    	72.3    
	2017-06-15  	14:27:44  	00:00:20  	59.4    	72.1    
	2017-06-15  	14:27:45  	00:00:21  	57.9    	71.9    
	2017-06-15  	14:27:46  	00:00:22  	60.3    	71.7    
	2017-06-15  	14:27:47  	00:00:23  	58.1    	71.5    
	2017-06-15  	14:27:48  	00:00:24  	57.8    	71.4    
	2017-06-15  	14:27:49  	00:00:25  	53.6    	71.2    
	2017-06-15  	14:27:50  	00:00:26  	52.7    	71.0    
	2017-06-15  	14:27:51  	00:00:27  	50.6    	70.9    
	2017-06-15  	14:27:52  	00:00:28  	54.9    	70.7    
	2017-06-15  	14:27:53  	00:00:29  	55.5    	70.6    
	2017-06-15  	14:27:54  	00:00:30  	57.5    	70.4    
	2017-06-15  	14:27:55  	00:00:31  	54.1    	70.3    
	2017-06-15  	14:27:56  	00:00:32  	54.6    	70.1    
	2017-06-15  	14:27:57  	00:00:33  	56.2    	70.0    
	2017-06-15  	14:27:58  	00:00:34  	55.0    	69.9    
	2017-06-15  	14:27:59  	00:00:35  	54.7    	69.8    
	2017-06-15  	14:28:00  	00:00:36  	56.2    	69.7    
	2017-06-15  	14:28:01  	00:00:37  	53.4    	69.5    
	2017-06-15  	14:28:02  	00:00:38  	54.6    	69.4    
	2017-06-15  	14:28:03  	00:00:39  	54.6    	69.3    
	2017-06-15  	14:28:04  	00:00:40  	59.8    	69.2    
	2017-06-15  	14:28:05  	00:00:41  	61.0    	69.1    
	2017-06-15  	14:28:06  	00:00:42  	57.5    	69.0    
	2017-06-15  	14:28:07  	00:00:43  	57.7    	68.9    
	2017-06-15  	14:28:08  	00:00:44  	56.7    	68.8    
	2017-06-15  	14:28:09  	00:00:45  	53.4    	68.7    
	2017-06-15  	14:28:10  	00:00:46  	54.7    	68.7    
	2017-06-15  	14:28:11  	00:00:47  	52.8    	68.6    
	2017-06-15  	14:28:12  	00:00:48  	51.5    	68.5    
	2017-06-15  	14:28:13  	00:00:49  	53.0    	68.4    
