XL2 Broadband Logging:		$FILENAME                                                     
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-25, 09:12:14
	End:            	--------------------

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-25  	09:13:40  	00:01:26  	50.4    	64.2    
	2017-06-25  	09:13:41  	00:01:27  	50.4    	64.1    
	2017-06-25  	09:13:42  	00:01:28  	49.9    	64.1    
	2017-06-25  	09:13:43  	00:01:29  	50.0    	64.0    
	2017-06-25  	09:13:44  	00:01:30  	50.3    	64.0    
	2017-06-25  	09:13:45  	00:01:31  	50.4    	63.9    
	2017-06-25  	09:13:46  	00:01:32  	50.1    	63.9    
	2017-06-25  	09:13:47  	00:01:33  	50.1    	63.9    
	2017-06-25  	09:13:48  	00:01:34  	50.0    	63.8    
	2017-06-25  	09:13:49  	00:01:35  	50.0    	63.8    
	2017-06-25  	09:13:50  	00:01:36  	50.3    	63.7    
	2017-06-25  	09:13:51  	00:01:37  	50.2    	63.7    
	2017-06-25  	09:13:52  	00:01:38  	50.8    	63.6    
	2017-06-25  	09:13:53  	00:01:39  	50.8    	63.6    
	2017-06-25  	09:13:54  	00:01:40  	50.0    	63.6    
	2017-06-25  	09:13:55  	00:01:41  	50.0    	63.5    
	2017-06-25  	09:13:56  	00:01:42  	49.9    	63.5    
	2017-06-25  	09:13:57  	00:01:43  	49.5    	63.4    
	2017-06-25  	09:13:58  	00:01:44  	49.3    	63.4    
	2017-06-25  	09:13:59  	00:01:45  	50.0    	63.4    
	2017-06-25  	09:14:00  	00:01:46  	49.8    	63.3    
	2017-06-25  	09:14:01  	00:01:47  	49.5    	63.3    
	2017-06-25  	09:14:02  	00:01:48  	49.9    	63.2    
	2017-06-25  	09:14:03  	00:01:49  	49.8    	63.2    
	2017-06-25  	09:14:04  	00:01:50  	49.9    	63.2    
	2017-06-25  	09:14:05  	00:01:51  	50.1    	63.1    
	2017-06-25  	09:14:06  	00:01:52  	49.6    	63.1    
	2017-06-25  	09:14:07  	00:01:53  	49.1    	63.0    
	2017-06-25  	09:14:08  	00:01:54  	48.9    	63.0    
	2017-06-25  	09:14:09  	00:01:55  	49.0    	63.0    
	2017-06-25  	09:14:10  	00:01:56  	49.4    	62.9    
	2017-06-25  	09:14:11  	00:01:57  	49.3    	62.9    
	2017-06-25  	09:14:12  	00:01:58  	51.0    	62.9    
	2017-06-25  	09:14:13  	00:01:59  	49.6    	62.8    
	2017-06-25  	09:14:14  	00:02:00  	49.4    	62.8    
	2017-06-25  	09:14:15  	00:02:01  	49.1    	62.8    
	2017-06-25  	09:14:16  	00:02:02  	49.1    	62.7    
	2017-06-25  	09:14:17  	00:02:03  	49.3    	62.7    
	2017-06-25  	09:14:18  	00:02:04  	49.9    	62.7    
	2017-06-25  	09:14:19  	00:02:05  	54.7    	62.6    
	2017-06-25  	09:14:20  	00:02:06  	54.1    	62.6    
	2017-06-25  	09:14:21  	00:02:07  	52.9    	62.6    
	2017-06-25  	09:14:22  	00:02:08  	54.0    	62.5    
	2017-06-25  	09:14:23  	00:02:09  	54.5    	62.5    
	2017-06-25  	09:14:24  	00:02:10  	52.5    	62.5    
	2017-06-25  	09:14:25  	00:02:11  	51.2    	62.5    
	2017-06-25  	09:14:26  	00:02:12  	51.4    	62.4    
	2017-06-25  	09:14:27  	00:02:13  	48.6    	62.4    
	2017-06-25  	09:14:28  	00:02:14  	48.6    	62.4    
	2017-06-25  	09:14:29  	00:02:15  	49.0    	62.3    
	2017-06-25  	09:14:30  	00:02:16  	49.6    	62.3    
	2017-06-25  	09:14:31  	00:02:17  	49.0    	62.3    
	2017-06-25  	09:14:32  	00:02:18  	50.3    	62.2    
	2017-06-25  	09:14:33  	00:02:19  	49.4    	62.2    
	2017-06-25  	09:14:34  	00:02:20  	49.9    	62.2    
	2017-06-25  	09:14:35  	00:02:21  	49.5    	62.2    
	2017-06-25  	09:14:36  	00:02:22  	49.2    	62.1    
	2017-06-25  	09:14:37  	00:02:23  	49.1    	62.1    
	2017-06-25  	09:14:38  	00:02:24  	48.7    	62.1    
	2017-06-25  	09:14:39  	00:02:25  	48.3    	62.0    
	2017-06-25  	09:14:40  	00:02:26  	48.5    	62.0    
