XL2 Broadband Logging:		TESTING17\6-15_SLM_001_123_Log.txt                            
----------------------


# Hardware Configuration
	Device Info:    	XL2, SNo. A2A-06200-E0, FW2.50
	Mic Type:       	NTi Audio M4260, S/N: 3530, Factory adjusted 
	Mic Sensitivity:	28.8 mV/Pa

# Measurement Setup
	Profile:        	Full mode
	Timer mode:     	continuous
	Timer set:      	--:--:--
	Log-Interval:   	00:00:01
	k1:             	0.0 dB
	k2:             	0.0 dB
	kset Date:      	k-Values not measured
	Range:          	20 - 120 dB

# Time
	Start:          	2017-06-17, 11:17:06
	End:            	2017-06-17, 16:19:07

# Broadband LOG Results
	Date        	Time      	Timer     	LAeq_dt 	LAeq    
	[YYYY-MM-DD]	[hh:mm:ss]	[hh:mm:ss]	[dB]    	[dB]    
	2017-06-17  	11:17:07  	00:00:01  	42.8    	42.8    
	2017-06-17  	11:17:08  	00:00:02  	42.8    	42.8    
	2017-06-17  	11:17:09  	00:00:03  	44.9    	43.6    
	2017-06-17  	11:17:10  	00:00:04  	45.0    	44.0    
	2017-06-17  	11:17:11  	00:00:05  	45.2    	44.3    
	2017-06-17  	11:17:12  	00:00:06  	44.9    	44.4    
	2017-06-17  	11:17:13  	00:00:07  	52.0    	46.6    
	2017-06-17  	11:17:14  	00:00:08  	48.1    	46.9    
	2017-06-17  	11:17:15  	00:00:09  	61.2    	52.8    
	2017-06-17  	11:17:16  	00:00:10  	81.4    	71.5    
	2017-06-17  	11:17:17  	00:00:11  	69.6    	71.3    
	2017-06-17  	11:17:18  	00:00:12  	84.5    	75.6    
	2017-06-17  	11:17:19  	00:00:13  	52.6    	75.2    
	2017-06-17  	11:17:20  	00:00:14  	53.0    	74.9    
	2017-06-17  	11:17:21  	00:00:15  	52.7    	74.6    
	2017-06-17  	11:17:22  	00:00:16  	50.6    	74.3    
	2017-06-17  	11:17:23  	00:00:17  	51.6    	74.1    
	2017-06-17  	11:17:24  	00:00:18  	52.7    	73.8    
	2017-06-17  	11:17:25  	00:00:19  	54.6    	73.6    
	2017-06-17  	11:17:26  	00:00:20  	47.7    	73.4    
	2017-06-17  	11:17:27  	00:00:21  	54.3    	73.2    
	2017-06-17  	11:17:28  	00:00:22  	56.0    	73.0    
	2017-06-17  	11:17:29  	00:00:23  	52.1    	72.8    
	2017-06-17  	11:17:30  	00:00:24  	52.7    	72.6    
	2017-06-17  	11:17:31  	00:00:25  	53.6    	72.4    
	2017-06-17  	11:17:32  	00:00:26  	59.1    	72.2    
	2017-06-17  	11:17:33  	00:00:27  	54.3    	72.1    
	2017-06-17  	11:17:34  	00:00:28  	53.6    	71.9    
	2017-06-17  	11:17:35  	00:00:29  	55.7    	71.8    
	2017-06-17  	11:17:36  	00:00:30  	52.0    	71.6    
	2017-06-17  	11:17:37  	00:00:31  	45.4    	71.5    
	2017-06-17  	11:17:38  	00:00:32  	47.9    	71.4    
	2017-06-17  	11:17:39  	00:00:33  	46.6    	71.2    
	2017-06-17  	11:17:40  	00:00:34  	46.6    	71.1    
	2017-06-17  	11:17:41  	00:00:35  	47.5    	71.0    
	2017-06-17  	11:17:42  	00:00:36  	54.3    	70.9    
	2017-06-17  	11:17:43  	00:00:37  	51.5    	70.7    
	2017-06-17  	11:17:44  	00:00:38  	56.5    	70.6    
	2017-06-17  	11:17:45  	00:00:39  	49.2    	70.5    
	2017-06-17  	11:17:46  	00:00:40  	54.8    	70.4    
	2017-06-17  	11:17:47  	00:00:41  	49.0    	70.3    
	2017-06-17  	11:17:48  	00:00:42  	43.9    	70.2    
	2017-06-17  	11:17:49  	00:00:43  	49.7    	70.1    
	2017-06-17  	11:17:50  	00:00:44  	48.0    	70.0    
	2017-06-17  	11:17:51  	00:00:45  	44.0    	69.9    
	2017-06-17  	11:17:52  	00:00:46  	49.2    	69.8    
	2017-06-17  	11:17:53  	00:00:47  	44.7    	69.7    
	2017-06-17  	11:17:54  	00:00:48  	45.0    	69.6    
	2017-06-17  	11:17:55  	00:00:49  	44.9    	69.5    
	2017-06-17  	11:17:56  	00:00:50  	42.8    	69.4    
	2017-06-17  	11:17:57  	00:00:51  	44.7    	69.4    
	2017-06-17  	11:17:58  	00:00:52  	40.0    	69.3    
	2017-06-17  	11:17:59  	00:00:53  	36.8    	69.2    
	2017-06-17  	11:18:00  	00:00:54  	46.6    	69.1    
	2017-06-17  	11:18:01  	00:00:55  	43.6    	69.0    
	2017-06-17  	11:18:02  	00:00:56  	42.9    	68.9    
	2017-06-17  	11:18:03  	00:00:57  	42.5    	68.9    
	2017-06-17  	11:18:04  	00:00:58  	38.4    	68.8    
	2017-06-17  	11:18:05  	00:00:59  	38.8    	68.7    
	2017-06-17  	11:18:06  	00:01:00  	37.0    	68.6    
	2017-06-17  	11:18:07  	00:01:01  	37.7    	68.6    
	2017-06-17  	11:18:08  	00:01:02  	48.0    	68.5    
	2017-06-17  	11:18:09  	00:01:03  	51.5    	68.4    
	2017-06-17  	11:18:10  	00:01:04  	34.7    	68.4    
	2017-06-17  	11:18:11  	00:01:05  	44.6    	68.3    
	2017-06-17  	11:18:12  	00:01:06  	40.4    	68.2    
	2017-06-17  	11:18:13  	00:01:07  	42.2    	68.2    
	2017-06-17  	11:18:14  	00:01:08  	36.1    	68.1    
	2017-06-17  	11:18:15  	00:01:09  	34.7    	68.0    
	2017-06-17  	11:18:16  	00:01:10  	32.7    	68.0    
	2017-06-17  	11:18:17  	00:01:11  	31.9    	67.9    
	2017-06-17  	11:18:18  	00:01:12  	39.8    	67.9    
	2017-06-17  	11:18:19  	00:01:13  	33.4    	67.8    
	2017-06-17  	11:18:20  	00:01:14  	31.0    	67.7    
	2017-06-17  	11:18:21  	00:01:15  	31.4    	67.7    
	2017-06-17  	11:18:22  	00:01:16  	30.9    	67.6    
	2017-06-17  	11:18:23  	00:01:17  	32.7    	67.6    
	2017-06-17  	11:18:24  	00:01:18  	32.2    	67.5    
	2017-06-17  	11:18:25  	00:01:19  	30.5    	67.5    
	2017-06-17  	11:18:26  	00:01:20  	31.0    	67.4    
	2017-06-17  	11:18:27  	00:01:21  	34.8    	67.3    
	2017-06-17  	11:18:28  	00:01:22  	31.8    	67.3    
	2017-06-17  	11:18:29  	00:01:23  	30.5    	67.2    
	2017-06-17  	11:18:30  	00:01:24  	32.6    	67.2    
	2017-06-17  	11:18:31  	00:01:25  	30.6    	67.1    
	2017-06-17  	11:18:32  	00:01:26  	30.8    	67.1    
	2017-06-17  	11:18:33  	00:01:27  	30.6    	67.0    
	2017-06-17  	11:18:34  	00:01:28  	30.4    	67.0    
	2017-06-17  	11:18:35  	00:01:29  	31.7    	66.9    
	2017-06-17  	11:18:36  	00:01:30  	30.6    	66.9    
	2017-06-17  	11:18:37  	00:01:31  	32.0    	66.8    
	2017-06-17  	11:18:38  	00:01:32  	33.1    	66.8    
	2017-06-17  	11:18:39  	00:01:33  	31.7    	66.7    
	2017-06-17  	11:18:40  	00:01:34  	31.9    	66.7    
	2017-06-17  	11:18:41  	00:01:35  	32.0    	66.7    
	2017-06-17  	11:18:42  	00:01:36  	31.4    	66.6    
	2017-06-17  	11:18:43  	00:01:37  	32.7    	66.6    
	2017-06-17  	11:18:44  	00:01:38  	32.6    	66.5    
	2017-06-17  	11:18:45  	00:01:39  	31.8    	66.5    
	2017-06-17  	11:18:46  	00:01:40  	32.1    	66.4    
	2017-06-17  	11:18:47  	00:01:41  	32.6    	66.4    
	2017-06-17  	11:18:48  	00:01:42  	33.5    	66.3    
	2017-06-17  	11:18:49  	00:01:43  	34.3    	66.3    
	2017-06-17  	11:18:50  	00:01:44  	34.2    	66.3    
	2017-06-17  	11:18:51  	00:01:45  	34.1    	66.2    
	2017-06-17  	11:18:52  	00:01:46  	38.1    	66.2    
	2017-06-17  	11:18:53  	00:01:47  	33.4    	66.1    
	2017-06-17  	11:18:54  	00:01:48  	34.3    	66.1    
	2017-06-17  	11:18:55  	00:01:49  	34.6    	66.1    
